Year,Month,SST_Anomaly,ENSO_Phase
1908,Dec,-1.15,Neutral
1908,Feb,0.07,Neutral
1908,Jan,-0.27,Neutral
1908,Jul,-0.63,Neutral
1908,Jun,-0.22,Neutral
1908,Mar,-0.63,Neutral
1908,May,-0.45,Neutral
1908,Nov,-0.88,La Niña
1908,Oct,-0.5,La Niña
1908,Sep,-0.52,La Niña
1909,Apr,-0.68,La Niña
1909,Aug,-0.97,La Niña
1909,Dec,-1.08,La Niña
1909,Feb,-0.88,La Niña
1909,Jan,-0.29,Neutral
1909,Jul,-1.0,Neutral
1909,Jun,-1.1,Neutral
1909,Mar,-0.54,Neutral
1909,May,-0.36,Neutral
1909,Nov,-1.5,La Niña
1909,Oct,-1.24,La Niña
1909,Sep,-0.85,La Niña
1910,Apr,-1.17,La Niña
1910,Aug,-0.9,La Niña
1910,Dec,-0.64,La Niña
1910,Feb,-0.64,La Niña
1910,Jan,-0.93,La Niña
1910,Jul,-0.88,La Niña
1910,Jun,-1.04,La Niña
1910,Mar,-0.79,La Niña
1910,May,-1.41,La Niña
1910,Nov,-0.53,La Niña
1910,Oct,-0.94,La Niña
1910,Sep,-1.29,La Niña
1911,Apr,-1.11,La Niña
1911,Aug,-0.28,Neutral
1911,Dec,0.96,Neutral
1911,Feb,-0.58,Neutral
1911,Jan,-0.57,Neutral
1911,Jul,-0.22,Neutral
1911,Jun,-0.64,Neutral
1911,Mar,-0.82,Neutral
1911,May,-1.05,Neutral
1911,Nov,0.84,Neutral
1911,Oct,0.2,Neutral
1911,Sep,0.22,Neutral
1912,Apr,0.58,Neutral
1912,Aug,-0.4,Neutral
1912,Dec,-0.49,Neutral
1912,Feb,0.83,Neutral
1912,Jan,1.55,Neutral
1912,Jul,-0.1,Neutral
1912,Jun,-0.24,Neutral
1912,Mar,0.69,Neutral
1912,May,0.0,Neutral
1912,Nov,0.16,Neutral
1912,Oct,-0.13,Neutral
1912,Sep,0.09,Neutral
1913,Apr,-0.77,Neutral
1913,Aug,-0.09,Neutral
1913,Dec,0.85,Neutral
1913,Feb,0.18,Neutral
1913,Jan,-0.2,Neutral
1913,Jul,-0.15,Neutral
1913,Jun,-0.16,Neutral
1913,Mar,0.16,Neutral
1913,May,-0.28,Neutral
1913,Nov,0.8,Neutral
1913,Oct,0.03,Neutral
1913,Sep,0.05,Neutral
1914,Apr,0.69,El Niño
1914,Aug,0.92,El Niño
1914,Dec,0.68,El Niño
1914,Feb,0.8,El Niño
1914,Jan,0.7,El Niño
1914,Jul,0.53,El Niño
1914,Jun,0.08,Neutral
1914,Mar,0.32,Neutral
1914,May,0.01,Neutral
1914,Nov,0.3,Neutral
1914,Oct,0.26,Neutral
1914,Sep,0.68,Neutral
1915,Apr,0.47,Neutral
1915,Aug,0.05,Neutral
1915,Dec,-0.23,Neutral
1915,Feb,0.65,Neutral
1915,Jan,0.88,Neutral
1915,Jul,0.07,Neutral
1915,Jun,1.1,Neutral
1915,Mar,0.49,Neutral
1915,May,0.52,Neutral
1915,Nov,-0.15,Neutral
1915,Oct,0.24,Neutral
1915,Sep,0.17,Neutral
1916,Apr,-0.63,Neutral
1916,Aug,-1.48,Neutral
1916,Dec,-1.64,Neutral
1916,Feb,-0.61,Neutral
1916,Jan,-0.12,Neutral
1916,Jul,-1.11,Neutral
1916,Jun,-0.36,Neutral
1916,Mar,-0.54,Neutral
1916,May,-0.23,Neutral
1916,Nov,-1.72,Neutral
1916,Oct,-1.36,Neutral
1916,Sep,-1.36,Neutral
1917,Apr,-0.29,Neutral
1917,Aug,0.15,Neutral
1917,Dec,-0.72,Neutral
1917,Feb,-1.2,Neutral
1917,Jan,-1.56,Neutral
1917,Jul,-0.05,Neutral
1917,Jun,-0.04,Neutral
1917,Mar,-0.64,Neutral
1917,May,-0.3,Neutral
1917,Nov,-0.43,Neutral
1917,Oct,0.04,Neutral
1917,Sep,-0.03,Neutral
1918,Apr,-0.56,Neutral
1918,Aug,0.12,Neutral
1918,Dec,1.3,Neutral
1918,Feb,-0.82,Neutral
1918,Jan,-0.84,Neutral
1918,Jul,-0.07,Neutral
1918,Jun,0.37,Neutral
1918,Mar,-0.96,Neutral
1918,May,-0.17,Neutral
1918,Nov,1.23,Neutral
1918,Oct,0.93,Neutral
1918,Sep,0.41,Neutral
1919,Apr,0.69,Neutral
1919,Aug,0.62,Neutral
1919,Dec,0.34,Neutral
1919,Feb,1.24,Neutral
1919,Jan,1.6,Neutral
1919,Jul,0.4,Neutral
1919,Jun,0.61,Neutral
1919,Mar,0.9,Neutral
1919,May,0.63,Neutral
1919,Nov,-0.37,Neutral
1919,Oct,0.13,Neutral
1919,Sep,0.5,Neutral
1920,Apr,-0.16,Neutral
1920,Aug,0.13,Neutral
1920,Dec,-0.01,Neutral
1920,Feb,0.6,Neutral
1920,Jan,0.64,Neutral
1920,Jul,0.15,Neutral
1920,Jun,0.29,Neutral
1920,Mar,0.53,Neutral
1920,May,-0.21,Neutral
1920,Nov,-0.08,Neutral
1920,Oct,0.48,Neutral
1920,Sep,0.27,Neutral
1921,Apr,-0.55,Neutral
1921,Aug,-0.29,Neutral
1921,Dec,-0.5,Neutral
1921,Feb,-0.52,Neutral
1921,Jan,0.43,Neutral
1921,Jul,-0.27,Neutral
1921,Jun,-0.21,Neutral
1921,Mar,-1.42,Neutral
1921,May,-0.92,Neutral
1921,Nov,-1.03,Neutral
1921,Oct,0.04,Neutral
1921,Sep,-0.17,Neutral
1922,Apr,-0.54,Neutral
1922,Aug,-0.78,Neutral
1922,Dec,-0.53,Neutral
1922,Feb,-0.07,Neutral
1922,Jan,-0.54,Neutral
1922,Jul,-0.44,Neutral
1922,Jun,-0.44,Neutral
1922,Mar,0.08,Neutral
1922,May,0.22,Neutral
1922,Nov,-0.31,Neutral
1922,Oct,-0.26,Neutral
1922,Sep,-0.38,Neutral
1923,Apr,-0.55,Neutral
1923,Aug,0.2,Neutral
1923,Dec,1.02,Neutral
1923,Feb,-0.76,Neutral
1923,Jan,-0.41,Neutral
1923,Jul,-0.2,Neutral
1923,Jun,-0.15,Neutral
1923,Mar,-0.85,Neutral
1923,May,-0.25,Neutral
1923,Nov,0.87,Neutral
1923,Oct,0.79,Neutral
1923,Sep,0.64,Neutral
1924,Apr,-0.02,Neutral
1924,Aug,-0.78,Neutral
1924,Dec,-0.66,Neutral
1924,Feb,0.63,Neutral
1924,Jan,0.46,Neutral
1924,Jul,-0.98,Neutral
1924,Jun,-0.67,Neutral
1924,Mar,0.39,Neutral
1924,May,-0.85,Neutral
1924,Nov,-1.09,Neutral
1924,Oct,-0.46,Neutral
1924,Sep,-0.86,Neutral
1925,Apr,-0.52,Neutral
1925,Aug,0.68,Neutral
1925,Dec,1.6,Neutral
1925,Feb,-0.47,Neutral
1925,Jan,-1.03,Neutral
1925,Jul,0.5,Neutral
1925,Jun,-0.18,Neutral
1925,Mar,-0.53,Neutral
1925,May,-0.4,Neutral
1925,Nov,1.0,Neutral
1925,Oct,0.85,Neutral
1925,Sep,0.77,Neutral
1926,Apr,1.01,Neutral
1926,Aug,0.15,Neutral
1926,Dec,-0.23,Neutral
1926,Feb,1.29,El Niño
1926,Jan,1.52,El Niño
1926,Jul,0.63,El Niño
1926,Jun,0.61,El Niño
1926,Mar,1.19,El Niño
1926,May,0.83,El Niño
1926,Nov,-0.27,Neutral
1926,Oct,-0.39,Neutral
1926,Sep,-0.07,Neutral
1927,Apr,-0.27,Neutral
1927,Aug,-0.09,Neutral
1927,Dec,0.25,Neutral
1927,Feb,0.23,Neutral
1927,Jan,0.1,Neutral
1927,Jul,-0.31,Neutral
1927,Jun,-0.15,Neutral
1927,Mar,-0.18,Neutral
1927,May,-0.59,Neutral
1927,Nov,-0.04,Neutral
1927,Oct,0.27,Neutral
1927,Sep,-0.16,Neutral
1928,Apr,-0.22,Neutral
1928,Aug,-0.28,Neutral
1928,Dec,-0.03,Neutral
1928,Feb,0.21,Neutral
1928,Jan,0.47,Neutral
1928,Jul,0.02,Neutral
1928,Jun,-0.26,Neutral
1928,Mar,-0.24,Neutral
1928,May,-0.04,Neutral
1928,Nov,-0.17,Neutral
1928,Oct,-0.12,Neutral
1928,Sep,-0.13,Neutral
1929,Apr,-0.15,Neutral
1929,Aug,0.1,Neutral
1929,Dec,0.63,Neutral
1929,Feb,-0.08,Neutral
1929,Jan,-0.15,Neutral
1929,Jul,-0.02,Neutral
1929,Jun,0.13,Neutral
1929,Mar,-0.15,Neutral
1929,May,-0.17,Neutral
1929,Nov,0.18,Neutral
1929,Oct,0.4,Neutral
1929,Sep,0.3,Neutral
1930,Apr,0.41,Neutral
1930,Aug,0.68,Neutral
1930,Dec,1.41,Neutral
1930,Feb,0.39,Neutral
1930,Jan,0.35,Neutral
1930,Jul,0.64,Neutral
1930,Jun,0.27,Neutral
1930,Mar,0.29,Neutral
1930,May,-0.04,Neutral
1930,Nov,1.79,Neutral
1930,Oct,1.14,Neutral
1930,Sep,1.28,Neutral
1931,Apr,0.96,Neutral
1931,Aug,0.15,Neutral
1931,Dec,-0.28,Neutral
1931,Feb,1.33,Neutral
1931,Jan,1.49,Neutral
1931,Jul,0.4,Neutral
1931,Jun,0.48,Neutral
1931,Mar,1.18,Neutral
1931,May,0.63,Neutral
1931,Nov,-0.27,Neutral
1931,Oct,-0.22,Neutral
1931,Sep,-0.42,Neutral
1932,Apr,0.25,Neutral
1932,Aug,0.09,Neutral
1932,Dec,-0.41,Neutral
1932,Feb,-0.19,Neutral
1932,Jan,-0.42,Neutral
1932,Jul,-0.11,Neutral
1932,Jun,0.19,Neutral
1932,Mar,0.25,Neutral
1932,May,0.28,Neutral
1932,Nov,-0.04,Neutral
1932,Oct,0.02,Neutral
1932,Sep,0.02,Neutral
1933,Apr,0.01,Neutral
1933,Aug,-0.94,Neutral
1933,Dec,-1.21,Neutral
1933,Feb,-0.08,Neutral
1933,Jan,-0.21,Neutral
1933,Jul,-0.66,Neutral
1933,Jun,-0.86,Neutral
1933,Mar,-0.2,Neutral
1933,May,-0.4,Neutral
1933,Nov,-1.06,Neutral
1933,Oct,-1.1,Neutral
1933,Sep,-0.77,Neutral
1934,Apr,-0.42,Neutral
1934,Aug,-0.33,Neutral
1934,Dec,-0.24,Neutral
1934,Feb,-0.87,Neutral
1934,Jan,-0.93,Neutral
1934,Jul,-0.43,Neutral
1934,Jun,-0.33,Neutral
1934,Mar,-0.95,Neutral
1934,May,-0.49,Neutral
1934,Nov,-0.11,Neutral
1934,Oct,-0.26,Neutral
1934,Sep,-0.52,Neutral
1935,Apr,-0.32,Neutral
1935,Aug,0.06,Neutral
1935,Dec,-0.04,Neutral
1935,Feb,-0.19,Neutral
1935,Jan,-0.32,Neutral
1935,Jul,-0.65,Neutral
1935,Jun,-0.4,Neutral
1935,Mar,-0.28,Neutral
1935,May,-0.54,Neutral
1935,Nov,0.28,Neutral
1935,Oct,0.28,Neutral
1935,Sep,0.08,Neutral
1936,Apr,0.29,Neutral
1936,Aug,-0.32,Neutral
1936,Dec,0.63,Neutral
1936,Feb,0.49,Neutral
